house_price,rental_agency,city,bedrooms,surface
1050,Immosa Makelaardij,Maastricht,5,95
1100,VGW Housing,Nieuwegein,5,100
1175,Prohousing,Maastricht,4,90
1095,Prohousing,Maastricht,2,70
1500,AHA (Another Home Abroad),Amsterdam,3,64
1575,JLG Real Estate,Amsterdam,3,62
1550,JLG Real Estate,Amsterdam,2,55
1100,Linger OG,Amsterdam,1,28
1400,Linger OG,Amsterdam,3,92
1550,Van Maarschalkerwaart Makelaars,Amsterdam,3,60
1600,Visch & Van Zeggelaar Amsterdam,Amsterdam,2,47
1600,Visch & Van Zeggelaar Amsterdam,Amsterdam,2,63
1100,Stad en Land Makelaars,Rotterdam,1,86
1050,Björnd Makelaardij,Delft,2,60
1550,Mac Housing,Amsterdam,3,78
1475,Hoogveste BV,Amstelveen,1,40
1500,Amstel Makelaardij o.g.,Amstelveen,3,80
1400,Mar. J. Heule,Amsterdam,3,58
1850,Hofzicht Makelaars,Lisse,4,175
1550,SPiL makelaars,Amsterdam,4,87
950,CMT Real Estate,Den Haag,2,50
1295,Interhouse verhuurmakelaars Den Haag,Rijswijk,5,105
850,070Wonen,Den Haag,3,46
2000,Great Expatation,Amsterdam,3,90
1175,Bob Witteveen Makelaardij,Nijmegen,2,73
1550,Raysemhousing.nl,Halfweg,3,85
595,Acuut Huren Breda,Teteringen,1,24
2350,Relocation-Amsterdam,Amsterdam,3,75
1650,Relocation-Amsterdam,Amsterdam,3,65
560,LVDS Vastgoed,Venlo,2,34
1500,Imperio Vastgoed,Zaandam,2,63
795,Your-House,Utrecht,2,32
710,LVDS Vastgoed,Venlo,2,51
1450,Rotterdam Apartments,Rotterdam,3,76
1485,Rotterdam Apartments,Rotterdam,3,85
800,EasyLease,Boxtel,2,54
1130,Perfectrent,Rotterdam,4,70
1300,ViaDaan,Amsterdam,2,57
850,ViaDaan,Tilburg,2,42
1700,House of Rentals,Amsterdam,3,68
1550,House of Rentals,Amsterdam,1,55
705,J.T.M.D. vastgoed beheer B.V.,Santpoort-Noord,1,18
1250,Rent2You,Rotterdam,2,70
1350,ViaDaan,Amsterdam,4,67
1300,ViaDaan,Amsterdam,2,40
1100,DG Vesta,Eindhoven,2,47
985,OurDomain Amsterdam Diemen,Diemen,2,47
1350,Hevesta Bemiddeling,Amsterdam,1,37
1150,Expats. Amsterdam Rentals ,Amsterdam,1,35
485,GOETH Vastgoed,Eindhoven,1,18
1295,Interhouse verhuurmakelaars Amersfoort,Amersfoort,2,82
1750,Amsterdam Beautiful Property Rental,Amsterdam,2,97
2650,VERRA Real Estate,Den Haag,5,137
648,Stadhuis Breda,Breda,1,22
925,070Wonen,Rijswijk,1,40
1100,Expatdesk Nijmegen,Nijmegen,2,40
1275,Expatdesk Nijmegen,Nijmegen,3,67
1650,Grand Relocation,Amsterdam,2,55
2250,Wooove B.V.,Amsterdam,5,147
300,Domica Leiden,Leiden,1,8
1325,Wooove B.V.,Den Haag,3,88
1630,Wooove B.V.,Amsterdam,4,140
1460,Wooove B.V.,Amsterdam,3,98
1045,Wooove B.V.,Den Haag,3,60
1295,Inter Immo Almere,Almere,4,87
1975,PropertyManager Amsterdam,Amsterdam,3,80
1350,The Real Estate Company,Den Haag,2,79
1095,Interhouse verhuurmakelaars Amersfoort,Amersfoort,2,47
751,HouseHunting Den Bosch,Den Bosch,1,38
,BED'R Apartments,Groningen,2,55
1250,Haarlem Real Estate,Haarlem,2,60
1295,Tweelwonen.nl Rotterdam,Rotterdam,3,90
1350,Interhouse verhuurmakelaars Amsterdam,Amsterdam,2,50
1550,DL Housing Services,Amsterdam,2,60
350,RNC Wonen,Tilburg,1,15
1500,VERRA Real Estate,Den Haag,3,77
475,Housing Solutions Breda,Breda,1,18
895,Robog.nl,Bergen op Zoom,3,75
2100,The Perfect House,Amsterdam,3,86
1600,Maasstad Woningverhuur,Rotterdam,3,122
1000,Robog.nl,Bergen op Zoom,2,60
950,WHXL Groningen,Winschoten,5,150
1995,Koops Makelaardij Amstelveen,Amstelveen,4,110
1700,Vastgoed Unie Makelaardij ,Amsterdam,2,100
1500,Expat Apartment Service,Haarlem,2,55
1900,013Housing,Tilburg,4,83
1400,Out Amsterdam,Amsterdam,2,60
795,Stadhuis Breda,Breda,2,40
950,CS Wonen,Bergen op Zoom,1,32
890,CS Wonen,Bergen op Zoom,1,35
1195,123Wonen Amersfoort,Hoevelaken,3,78
2400,Woonhuyz,Amsterdam,3,114
525,De Huissleutel,Tilburg,1,25
1195,Maxx Groningen,Groningen,2,70
995,Urban Short Stay,Amsterdam,1,28
874,Inter Immo Almere,Almere,2,37
875,A&N Vastgoed,Den Haag,1,28
1075,A&N Vastgoed,Den Haag,1,48
1250,Rotsvast Middelburg,Terneuzen,4,90
1350,Domica Utrecht,Utrecht,2,55
999,Urban Short Stay,Amsterdam,2,46
1200,BenHousing,Rotterdam,2,51
770,Urban Short Stay,Rotterdam,1,38
619,Ad Hoc Arnhem,Barneveld,3,85
1700,Rental Valley,Vinkeveen,3,45
1275,VERRA Real Estate Rotterdam,Delft,3,80
1195,Perfectrent,Schiedam,3,85
1350,Kimmel & Co. Makelaarskantoor o.g. b.v.,Den Haag,3,72
950,StartHousing,Bunnik,2,55
1995,HouseHunting Utrecht,Utrecht,4,123
1325,Compass Housing Amsterdam,Amsterdam,3,68
955,P&D Housing,Tilburg,1,55
1550,My Amsterdam Apartments,Amsterdam,3,45
1600,Vastgoed Unie Makelaardij ,Amsterdam,3,81
1650,Zen Home Rentals,Amsterdam,3,70
1900,PropertyManager Amsterdam,Amsterdam,3,90
570,MIJN HUIS en ik,Maastricht,1,21
620,MIJN HUIS en ik,Maastricht,1,27
520,MIJN HUIS en ik,Maastricht,1,17
570,MIJN HUIS en ik,Maastricht,1,21
